epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,3439.94,0.9852,1.2451,1.00263,0.7978,0.67829,0.75244,0.44962,1.55843,2.09294,1.26067,0.0052048,0.0052048,0.0052048
146,3463.69,1.00237,1.28395,1.01119,0.81005,0.66085,0.73887,0.44012,1.56516,2.029,1.2644,0.0051715,0.0051715,0.0051715
147,3487.41,0.9877,1.24756,1.0053,0.76294,0.68863,0.74661,0.44851,1.54205,2.00237,1.26167,0.0051382,0.0051382,0.0051382
148,3511.09,0.99455,1.2761,1.01072,0.79831,0.68224,0.7527,0.44934,1.54946,2.02194,1.27005,0.0051049,0.0051049,0.0051049
149,3534.76,0.97846,1.24698,1.00447,0.75807,0.69389,0.73656,0.43994,1.5492,2.04488,1.25982,0.0050716,0.0050716,0.0050716
150,3559.02,1.006,1.29108,1.01219,0.77784,0.66132,0.72414,0.42807,1.56485,2.08294,1.26913,0.0050383,0.0050383,0.0050383
151,3582.86,1.00033,1.29331,1.01439,0.80701,0.67097,0.74728,0.44452,1.55203,2.01327,1.26674,0.005005,0.005005,0.005005
152,3606.55,0.97325,1.24363,1.00467,0.78947,0.68502,0.74337,0.44868,1.55225,2.02592,1.27157,0.0049717,0.0049717,0.0049717
153,3630.2,0.99502,1.27464,1.01202,0.77124,0.6786,0.73863,0.4394,1.53776,2.06683,1.26154,0.0049384,0.0049384,0.0049384
154,3653.91,0.98935,1.24947,1.00462,0.77279,0.6711,0.73489,0.44024,1.55737,2.07319,1.2821,0.0049051,0.0049051,0.0049051
155,3677.92,0.98251,1.25227,1.00141,0.78065,0.68566,0.73815,0.43933,1.54585,2.00954,1.26581,0.0048718,0.0048718,0.0048718
156,3701.69,0.98447,1.2587,1.00765,0.81421,0.66547,0.74168,0.43906,1.56622,2.0364,1.2764,0.0048385,0.0048385,0.0048385
157,3725.42,0.98348,1.26581,1.0051,0.79449,0.6662,0.73808,0.43553,1.56103,2.04541,1.2713,0.0048052,0.0048052,0.0048052
158,3749.14,1.00023,1.26757,1.01015,0.81977,0.66004,0.74285,0.44599,1.54859,2.02055,1.26998,0.0047719,0.0047719,0.0047719
159,3772.91,0.9914,1.2706,1.0077,0.79789,0.67522,0.74071,0.44207,1.55169,1.98908,1.26128,0.0047386,0.0047386,0.0047386
